Image_Path,Brand,Product,Amount,Price
https://cdn.heinemann-shop.com/images/h69/h90/9329865293854.jpg,Veuve Clicquot,"Veuve Clicquot Brut, white Twinpack 2x0.75L, giftbox",1.5 l (€43.27 / 1 l),from €64.90
https://cdn.heinemann-shop.com/images/h00/hb9/9331337003038.jpg,Lindt,Lindt Silver Bar Dark Orange Almond 300g,300 g (€29.67 / 1000 g),from €8.90
https://cdn.heinemann-shop.com/images/hf3/ha5/9380790566942.jpg,Hennessy,Hennessy XO 40% 1L giftpack,1 l (€199.90 / 1 l),from €199.90
https://cdn.heinemann-shop.com/images/h4a/h9a/9381026234398.jpg,Anthon Berg,Anthon Berg Grand Cordials 400g,400 g (€27.25 / 1000 g),from €10.90
https://cdn.heinemann-shop.com/images/h6f/hfe/9427407601694.jpg,Paco Rabanne,Paco Rabanne Lady Million Eau de Parfum 80 ml,80 ml (€74.88 / 100 ml),from €59.90
https://cdn.heinemann-shop.com/images/ha2/h3a/9380981866526.jpg,The Famous Grouse,The Famous Grouse 40% 1L,1 l (€14.90 / 1 l),from €14.90
https://cdn.heinemann-shop.com/images/h00/h9a/9331418103838.jpg,Moët & Chandon,Moët & Chandon Brut Impérial 2x0.75L Twinpack,1.5 l (€43.27 / 1 l),from €64.90
https://cdn.heinemann-shop.com/images/h62/hc1/9327797567518.jpg,Masi,"Masi, Nectar Costasera, Amarone della Valpolicella Classico, DOCG, dry, red, 0.75L",0.75 l (€38.53 / 1 l),from €28.90
https://cdn.heinemann-shop.com/images/hb4/h02/9480278048798.jpg,Shui Jing Fang,Shui Jing Fang Forest Green 52% 0.5L,0.5 l (€319.80 / 1 l),€159.90
https://cdn.heinemann-shop.com/images/he1/h45/9379262791710.jpg,Versace,Versace Bright Crystal Absolu Eau de Parfum 50 ml,50 ml (€113.80 / 100 ml),from €56.90
https://cdn.heinemann-shop.com/images/h73/h29/9327821848606.jpg,Cazes,"Clos de Paulilles, Collioure, AOC, dry, rosé 0.75L",0.75 l (€14.53 / 1 l),€10.90
https://cdn.heinemann-shop.com/images/h47/h81/9380907909150.jpg,Jean Paul Gaultier,"Jean Paul Gaultier ""Le Mâle"" Eau de Toilette 200 ml",200 ml (€39.95 / 100 ml),from €79.90
https://cdn.heinemann-shop.com/images/h72/h18/9327822503966.jpg,Mozart,Mozart Chocolate Cream 17% 1L,1 l (€17.50 / 1 l),from €17.50
https://cdn.heinemann-shop.com/images/h7c/h94/9176954798110.jpg,Wolf Blass,Wolf Blass Priviate Release Cabernet Sauvignon 2013 0.75L,0.75 l (€11.07 / 1 l),€8.30
https://cdn.heinemann-shop.com/images/h24/h67/9177137381406.jpg,Masi,"Masi, Angelorum, Recioto della Valpolicella Classico, DOCG, sweet, red (gift box) 0.375L",0.375 l (€40.80 / 1 l),€15.30
https://cdn.heinemann-shop.com/images/h35/he7/9380896342046.jpg,Urban Decay,Urban Decay Naked 2 Palette,1 items,from €33.90
https://cdn.heinemann-shop.com/images/h12/h2b/9327845900318.jpg,Château La Tour Carnet,"Château La Tour Carnet, La Servitude Volontaire, Haut-Médoc, AOC, dry, red (wooden case) 0.75L",0.75 l (€59.87 / 1 l),€44.90
https://cdn.heinemann-shop.com/images/h73/h55/9478068961310.jpg,Lancaster,Lancaster Suncare Beauty Full Light Protection SPF50 face sunscreen 75ml,75 ml (€26.53 / 100 ml),€19.90
https://cdn.heinemann-shop.com/images/h78/h62/9471056183326.jpg,Skagen,"Skagen, Hagen, men's watch",,€105.90
https://cdn.heinemann-shop.com/images/h7d/h1c/9501272801310.jpg,Urban Decay,Urban Decay Naked 2 Palette,1 items,from €33.90
https://cdn.heinemann-shop.com/images/ha9/ha5/9331026722846.jpg,Lindt,Lindt Gold Bar White 300g,300 g (€29.67 / 1000 g),from €8.90
