Country,City,Airport Name,IATA Code,ICAO Code
United States,Apalachicola,Municipal,AAF,KAAF
United States,"Houston, TX",Andrau Airpark,AAP,BGAG
United States,Abilene,Municipal,ABI,KABI
United States,Ambler,Ambler,ABL,PAFM
United States,Albuquerque,Albuquerque International,ABQ,KABQ
United States,Aberdeen,Municipal,ABR,KABR
United States,Albany,Dougherty County,ABY,KABY
United States,Bellaire,Antrim County,ACB,KACB
United States,Nantucket,Nantucket Memorial,ACK,KACK
United States,Waco,Municipal,ACT,KACT
United States,Arcata,Arcata,ACV,KACV
United States,Atlantic City,Atlantic City Intl,ACY,KACY
United States,Adrian,Lenawee County,ADG,KADG
United States,Adak Island,Adak Island NS,ADK,PADK
United States,Ardmore,Ardmore Municipal Arpt,ADM,KADM
United States,Kodiak,Kodiak Airport,ADQ,PADQ
United States,Andrews,Andrews,ADR,KPHH
United States,Dallas,Addison Airport,ADS,KADS
United States,Ada,Ada,ADT,KADH
United States,Camp Springs,Andrews AFB,ADW,KADW
United States,Aleneva,Aleneva,AED,KTDO
United States,Albert Lea,Albert Lea,AEL,KAEL
United States,Allakaket,Allakaket,AET,PFAL
United States,"Alexandria, LA",Alexandria International,AEX,KAEX
United States,Colorado Springs,USAF Academy Airstrip,AFF,KAFF
United States,Jaffrey,Municipal,AFN,KAFN
United States,Afton,Municipal,AFO,KAFO
United States,"Fort Worth, TX",Fort Worth Alliance,AFW,KAFW
United States,Pittsburgh,Allegheny County,AGC,KAGC
United States,Angoon,Angoon,AGN,PAGN
United States,Magnolia,Municipal,AGO,KAGO
United States,Augusta,Bush Field,AGS,KAGS
United States,Ardmore,Downtown,AHD,KAHD
United States,Amery,Municipal,AHH,KAHH
United States,Amchitka,Amchitka,AHT,PHKO
United States,Alliance,Alliance,AIA,KAIA
United States,Anita Bay,Anita Bay,AIB,KGRK
United States,Anderson,Municipal,AID,KAID
United States,Aiken,Municipal,AIK,KAIK
United States,Wainwright,Wainwright,AIN,PAWI
United States,Atlantic,Municipal,AIO,KAIO
United States,Aliceville,George Downer,AIV,KAIV
United States,Atlantic City,Bader Field,AIY,KAIY
United States,Kaiser/Lake Ozark,Lee C Fine Memorial,AIZ,KAIZ
United States,Atka,Atka,AKB,PAAK
United States,Akiak,Akiak,AKI,PFAK
United States,Akhiok,Akhiok SPB,AKK,PAKH
United States,King Salmon,King Salmon,AKN,PAKN
United States,"Akron, CO",Colorado Plains Regional Airport,AKO,KAKO
United States,Anaktuvuk,Anaktuvuk,AKP,PAKP
United States,Albany,Albany International,ALB,KALB
United States,Alpine,Alpine,ALE,
United States,Alice,International,ALI,KALI
United States,Alamogordo,Municipal,ALM,KALM
United States,Alton,Alton,ALN,KALN
United States,Waterloo,Waterloo,ALO,KALO
United States,Alamosa,Municipal,ALS,KALS
United States,Walla Walla,Walla Walla,ALW,KALW
United States,Alexander City,Thomas C Russell Fld,ALX,KALX
United States,Alitak,Alitak SPB,ALZ,KALZ
United States,"Amarillo, TX",Rick Husband Amarillo International,AMA,KAMA
United States,Durango,Animas Airpark,AMK,
United States,Alma,Gratiot Community,AMN,KAMN
United States,Ames,Ames,AMW,KAMW
United States,Anaheim,Orange County Steel Salvage Heliport,ANA,KANA
United States,Anniston,Anniston Metropolitan,ANB,KANB
United States,Anchorage,Ted Stevens Anchorage International Airport,ANC,PANC
United States,Anderson,Anderson,AND,KAND
United States,Aniak,Aniak,ANI,PANI
United States,Annette Island,Annette Island,ANN,PANT
United States,Annapolis,Lee,ANP,KANP
United States,Angola,Tri-State Steuben Cty,ANQ,KANQ
United States,Anvik,Anvik,ANV,PANV
United States,Ainsworth,Ainsworth,ANW,KANW
United States,Anthony,Anthony,ANY,KANY
United States,Lima,Allen County,AOH,KAOH
United States,Martinsburg,Martinsburg,AOO,KAOO
United States,Amook,Amook,AOS,HTDA
United States,Denver,Arapahoe Co,APA,KAPA
United States,Napa,Napa County,APC,KAPC
United States,Naples,Naples,APF,KAPF
United States,Aberdeen,Phillips AAF,APG,KAPG
United States,Bowling Green,Camp A P Hill,APH,KAPH
United States,Alpena,Alpena County Regional,APN,KAPN
United States,Jasper,Marion County,APT,KAPT
United States,Apple Valley,Apple Valley,APV,KAPV
United States,Alyeska,Alyeska,AQY,KAQY
United States,New Iberia,Acadiana Regional,ARA,KARA
United States,"Ann Arbor, MI",Municipal,ARB,KARB
United States,Arctic Village,Arctic Village,ARC,PARC
United States,Walnut Ridge,Walnut Ridge,ARG,KARG
United States,Watertown,Watertown,ART,KART
United States,Minocqua,Noble F. Lee,ARV,KARV
United States,"Neptune, NJ",Asbury Park,ARX,OIHR
United States,Aspen,Aspen,ASE,KASE
United States,"Nashua, NH",Boire Field,ASH,KASH
United States,Marshall,Harrison County,ASL,KASL
United States,Talladega,Talladega,ASN,KASN
United States,Austin,Austin,ASQ,KTMT
United States,Astoria,Astoria,AST,KAST
United States,Ashland,Ashland,ASX,KASX
United States,Ashley,Ashley,ASY,KASY
United States,Antlers,Antlers,ATE,KATE
United States,Atqasuk,Atqasuk,ATK,PATQ
United States,"Atlanta, GA",Hartsfield-jackson Atlanta International,ATL,KATL
United States,Artesia,Artesia,ATS,KATS
United States,Atmautluak,Atmautluak,ATT,
United States,Attu Island,Casco Cove,ATU,PAAT
United States,Appleton,Outagamie County,ATW,KATW
United States,Watertown,Watertown,ATY,KATY
United States,Augusta,Augusta,AUG,KAUG
United States,Alakanuk,Alakanuk,AUK,PAUK
United States,Austin,Austin,AUM,KAUM
United States,Auburn,Auburn,AUN,KAUN
United States,Auburn,Auburn-Opelika,AUO,KAUO
United States,Wausau,Municipal,AUW,KAUW
United States,Aurora,Municipal Airport,AUZ,KARR
United States,Fletcher,Asheville Regional Airport,AVL,KAVL
United States,Avon Park,Municipal,AVO,KAVO
United States,"Wilkes-Barre/Scranton, PA",Wilkes-Barre/Scranton International Airport,AVP,KAVP
United States,Tucson,Avra Valley,AVW,KAVQ
United States,Catalina Island,Avalon Bay,AVX,KAVX
United States,West Memphis,Municipal,AWM,KAWM
United States,Alexandria Bay,Alexandria Bay,AXB,KAXB
United States,Algona,Algona,AXG,KAXA
United States,Alexandria,Alexandria,AXN,KAXN
United States,Altus,Municipal,AXS,KAXS
United States,Wapakoneta,Neil Armstrong,AXV,KAXV
United States,Angel Fire,Angel Fire,AXX,KAXX
United States,Waycross,Ware County,AYS,KAYS
